序号	篇	书页	我们几个	影像几个	两遍是否一致	影像位置	段落
0	10	55	1	NONE	一致		4. *A wicked* (man)*, according to his pride, will not seek. There is no God* (are) *all h
1	10	59	1	NONE	不一致		15. *Break thou the arm,* destroy the power, *of the wicked, and the bad* (man), or as to 
2	102	419	1	NONE	一致		19 (18). *'This shall be written for an after generation, and a people* (yet to be) *creat
3	105	439	1	2	一致	of Abraham, ^ Restore the man his ‖ and thou shalt live. ^	15. *Touch not mine anointed ones, and to my prophets do no harm.* These are the words of 
4	107	451	1	NONE	一致		2. (So) *say the Redeemed of Jehovah, whom he has redeemed from the hand of distress* (or 
5	107	454	1	NONE	一致		18. *All food their soul abhors, and they draw near to the very gates of death.* This vers
6	107	458	1	NONE	一致		39. *And they were diminished and brought low, from oppression, suffering, and grief.* The
7	119	494	1	NONE	一致		32. *The way of thy commandments will I run, for thou wilt enlarge my heart.* The verb to 
8	119	508	1	NONE	一致		128. *Therefore all* (thy) *precepts* (as to) *all* (things) *I think right; every way of 
9	126	524	5	1	不一致	in the experience of Israel, when ^ the priests and the Levites	6. *He may go forth, he may go forth, and weep, bearing* (his) *load of seed. He shall com
10	132	531	1	NONE	一致		1. *A Song of Ascents. Remember, O Jehovah, for David, all his affliction.* This psalm con
11	139	547	1	NONE	一致		9. *I will raise the wings of day-break. I will dwell in the end of the sea.* By supplying
12	139	548	1	NONE	一致		15. *Not hid was my frame from thee, when I was made in secret, embroidered in depths of t
13	140	551	1	NONE	一致		3 (2). *Who imagine evils in* (their) *hearts; all the day they gather* (for) *battles.* T
14	16	74	3	2	一致	in the English version, ^ their sorrows shall be ‖ be multiplied that hasten, ^ &c., gives the sense	4. *Many (or multiplied) shall be their sorrows*—*another they have purchased*—*I will not
15	16	76	3	2	不一致	in the preceding verse. ^ I am sure my ‖ me up to the destroyer. ^ He does not say	10. *For thou wilt not leave my soul to Hell; thou wilt not give thy Holy One to see corru
16	17	79	1	2	不一致	of the tenses is significant. ^ I have invoked thee ‖ that thou wilt hear me. ^ It is needless to	6. *I have invoked thee because thou wilt answer me, O God! Incline thine ear to me, hear 
17	17	81	3	3	不一致	before both nouns— ^ from the men, ‖ and from the evil world. ^ " World is then ‖ the evil world." ^ World is then simply	14. *From men* (with) *thy hand, from the world; their portion is in* (this) *life, and wi
18	18	85	1	NONE	一致		9 (8). *There went up smoke in his wrath, and fire from his mouth devours: coals are kindl
19	18	86	1	NONE	一致		15 (14). *Then sent he his arrows and scattered them, and shot forth lightnings and confou
20	2	25	1	1	一致	never applied to ^ a particular country	8. The recital of Jehovah's declaration to his Son is still continued. *Ask of me, and I w
21	20	100	1	1	一致	his nature in his acts. ^ May those divine attributes	2 (1). *Jehovah hear thee in the day of trouble! The name of Jacob's God exalt thee!* The 
22	20	100	1	NONE	一致		4 (3). (May Jehovah) *remember all thy gifts and accept thy offering. Selah.* The word *re
