garbage	reading	conf	status
tPTO	ששים	90	applied
noMoi.	πολλοί	94	applied
fiQotpqrijs	προφητῆς	77	applied
TIQO^^I)	πρόφημι	90	applied
thgLjipmp' ^ ^OT^	the name of God	95	applied
nQoyrjTrjg,	προφητῆς	82	applied
nQo	προ	86	applied
nQosarcoe, nqo'iGia^	προεστῶς, προϊστάμε	85	applied
nQo^raL	προφῆται	96	applied
^dvTig	μᾶντις	82	applied
pavta	μανία	96	applied
7iQoq>r^s	προφητῆς	88	applied
whatcarabe	what can be	94	applied
ysvdos	ψεῦδος	92	applied
(leoa yQ dp	ἱερὰ γράμ	95	applied
yQayai ayiai)	γραφαὶ ἅγιαι	94	applied
TTQMTOV	πρῶτον	80	notfound
\ve	ὟΘ	81	applied
ot	οἱ	96	applied
LVH	זוץ	73	lowconf
pecu	גוסס	81	notfound
rttn	חזה	91	applied
ov GwqxEv).	οὐ συνῆκεν	95	applied
aTtyM.OTQiw&qaav	ἀπηλλοτριώϑησαν	91	applied
hbnb	לחלי	90	applied
(paftcoi/>,	μώλωψ	96	applied
thn	ἘΓῚΞ	78	lowconf
nasna	מהפכה	89	applied
c'nt	זרם	90	applied
rn*i23	נצגרה	71	lowconf
tr nf> iispi iDif>	וכל לסכול )ון עס	71	lowconf
n^isia	מועדירם	73	lowconf
(tyewq&jjr*	ἐγεννη ϑητέ	90	applied
jSazzoAoy/w	βαττολογία	90	applied
D^Vsa	מעללים	88	applied
"p^n	חמוץ	92	applied
(gvaaGfts, ttdixovpsvov,	ῥύσασϑε ἀδικούμενον	70	lowconf
sav &&IJTS xal siaaxov^rjis	ἐὰν ϑέλητε καὶ εἰσακούσητέ	93	notfound
tex	אפל	83	applied
metropolis),^//	metropolis), full	96	notfound
xdanfioi GOV fiiayovai rbv	καάπηλοί σου μίσγουσι τὸν	86	applied
vdan.	ὑδατι	87	applied
avTanodopa. Symm. a(iot.fid<i) •	ἀνταπόδομα. ϑγτηπηι. ἀμοιβάς	70	lowconf
baoiui	רשראל	90	applied
bs	על	92	applied
(auf	αυῇ Ἶ	78	lowconf
xa&otQov),	καϑαρόν	89	applied
(-on	בכר	93	ambiguous
msfcJ	טביה	89	applied
o/and	of and	97	applied
ous	פטס	80	notfound
"jbn	חסן	75	applied
ibsfe	פעלו	86	applied
b?b	פצל	81	notfound
fitn	חזה	92	applied
ntn	חזה	86	applied
yitn	חזון	93	applied
-pas	ΠΩΣ	66	lowconf
(xaiaJi&oms	καταλέλοιπε	75	lowconf
dTp	קדם	92	applied
apjfjjtf.	ἀρχῆς	95	applied
c&p	קסם	90	applied
mp	קדם	90	applied
nhoiov	πλοίον	91	notfound
"jtfdwv	χηδῶν	89	applied
(tfp^-iStt	אפריקא	89	applied
/ru av	πὰ ὧν	74	lowconf
nlotwv xdMovg.	πλοίων κάλλους	96	applied
loiv,	ἰοιυ	89	applied
Wrt	העיר	86	applied
^isrft,	לחפר	76	lowconf
isn,	חפר	66	lowconf
misnsnb	לחפרפרות	89	applied
acpaQcpeQaft)	ἀφαρφερώϑ	78	lowconf
axiapds,	σχισμᾶς	79	lowconf
Iff^vowtt	ἰσχύοντα	97	notfound
xal ffTijQiypov),	καὶ στηριγμόν	76	lowconf
^'sa	פפיר	80	halfword
yfyavta xal ia^vovia),	γίγαντα καὶ ἰσχύονταλν	88	applied
nbp	קסם	91	applied
HQeofivitQOv*	πρεσβύτερον	97	applied
slkilful artificer^	skilful artificer	92	applied
(ffoopoj' aQ/iTMTora),	σοφὸν ἀρχιτέκτονα	72	lowconf
(ovverov yi&vQtapw),	συνετὸν ψιϑυρισμῷ	88	applied
(opiHa ptOT<*$),	ὁμιλίᾳ μυστικῃ	80	italic
(srttbri),	חל שיא	81	applied
k^na.Uitu-9	ἐμπαίκται	90	applied
rnV	לכה	96	applied
*nK	אור	75	applied
sn	רצ	82	notfound
^TOS	גמול	91	halfword
vio	ΨΙΟ	72	lowconf
vipylcp	ὑψηλῷ	93	applied
iQaxfto))	τραχήλῳ	93	applied
rvhjslfla,	במפקרות	72	lowconf
(tv vsvfiaaw ocp&alpwv),	ἐν νεύμασιν ὀφϑαλμῶν	80	applied
(t^'Mia)	ψέλλια	89	applied
Pjas	צנף	86	applied
(dtacpavij Aax&mxce),	διαφανῆ λακωνικα	75	lowconf
nie^s	צנִיפות	83	applied
casa,	צשם	73	lowconf
(a%oivi(p	σχοινίῳ	97	applied
niBp	קשה	96	applied
^na	פתי	66	lowconf
fina	פתה	91	applied
FJCJSB	מקשה	89	applied
nj?a	נקה	89	applied
arbi	ΔΙΌΙ	73	lowconf
xmttE).	משיחא	70	lowconf
&n*rna),	במרמרא	82	applied
"paa	מכון	93	applied
"paa	מכון	87	applied
nx'ipE	מקראה	91	notfound
nsn	חפה	94	applied
nss	סכה	76	lowconf
irt	לדוד	89	applied
(^eivi),	ἔμεινε	87	applied
n^ma	באשים	91	applied
hi'n	הור	77	applied
iube	it. be	85	applied
o-^nxE	מאחרים	71	lowconf
ttfan	חמונן	79	lowconf
Vixftj.	שאול	74	notfound
^>tB	שעל	79	lowconf
bixsj,	שאול	88	applied
tbs	עכז	84	applied
bx	אל	85	applied
isipa	נסדש	72	lowconf
nis^n	חרבות	90	applied
n-.asa	בעבות	82	notfound
m23?a	פפפות	67	lowconf
MSS.), i^arc	כחבלר , (.55	73	lowconf
ibana	בחבלי	87	applied
nrn&a	כסוחה	92	applied
rriD	סוח	90	applied
ft	לו	84	notfound
vovg 'Ptopaiovg dia rovrcav	τοὺς Ῥωμαίους διὰ τούτων	94	applied
tion	מסנז	71	lowconf
(ovrag	οὕτως	97	applied
larana	נחשבו	70	lowconf
*xwi	הטאג	75	lowconf
"riao	ואור	91	applied
*iis	אור	91	applied
rQiadyiov	τρισάγιον	89	applied
n^Qsn niax	אמות הספים	93	applied
xarcmVt^o*,	κατανένυγμαι	81	applied
tQiadyiov	τρισάγιον	92	applied
s<b,	לא	88	applied
(axojj ctxowm, {tt.KnovTe$ {tttyezs) ,	ἀκοῇ ἀκούσετε, βλέποντες βλέψετε	91	italic
(naQOipia.) , bq^vrag py	παροιμία), ὁρῶντας μὴ	96	applied
faifipa	λεῖμμα	95	applied
zxlopiv %aQiTo$	ἐκλογὴν χάριτος	93	applied
waa	מאבת	68	lowconf
ftni ,	נחת	72	lowconf
m^Va	מלכות	75	applied
^fiffit,^ frft<?	sent. to free	90	applied
"pfcft	הקיץ	75	lowconf
rtspa	בקעה	77	lowconf
X^EI	רמלא	96	applied
wp	קום	71	lowconf
asm	וחמש	67	lowconf
and^e	and five	87	applied
t&w&	עואלה	83	applied
nbsttJ	שאלה	82	applied
nixbrr	הלאות	86	applied
dbs	עלם	92	applied
na,Q&wog,	πάρϑενος	89	applied
tion (rovro olov ytyovw	οη (τοῦτο ὅλον γέγονεν	83	notfound
filijgm&rj'x.	πληρωϑῆ᾽ κ	90	applied
tw^c^iiclL_fic^jjrrences	two such occurrences	96	applied
th^y_^^re_both s^g-7Z5 orpledges	they were both signs or pledges	87	applied
rnn	הרה	85	applied
rt^srai)	τέξεται	89	notfound
rtrs	עשת	82	applied
xatiaovtii,	καλέσουσι	90	applied
iite'ib	לדעתו	84	applied
TTQIV	πριν	67	lowconf
yvtivai).	γνῶναι	87	applied
Immanuelrthe	Immanuel, the	95	notfound
dp	ἄρ	82	notfound
nj<	את	97	applied
JO^P ,	רביא	82	applied
ri^p	קצה	93	applied
"f^n	במלך	90	applied
irnisiu	שכירה	81	applied
smce tne	since the	96	applied
I?P)	הער	70	lowconf
(pspia&copsvcp),	μεμισϑωμένῳ	81	applied
((u-ps&vGftwcp) ,	μεμεϑυσμένῳ	88	applied
nsND	שכר	84	applied
E^n	הרים	89	applied
Kiaft	תבוא	77	lowconf
(jjtd^ivgds fjtoi noirfiov),	μάρτυράς μοι ποίησον	95	applied
nft	ηϑι	76	lowconf
(ov	זס	85	applied
&NE	מאס	90	applied
&OE	מסס	90	applied
isn	דעו	94	applied
IxGTctGei	ἐχστάσει	84	applied
Svvapei	δυναμει	87	applied
yrvsv^an ayity	πνεύματι ἁγίῳ	96	applied
&Oin	מורא	88	applied
ISATAH,	ΙΒΑΤΑΗ	76	lowconf
iK^n	תיראו	83	applied
ayiov,	αγιον	83	applied
jj z/pj	ἡ τιμή	92	applied
nsis	צזר	66	lowconf
^xb	למדר	81	applied
xb	ΝΘ	66	lowconf
xb	לא	68	lowconf
xbn,	הלא	70	applied
xbn	הלא	96	applied
xb	לא	78	applied
py (SiUVrm).	μὴ βλέπειν	96	italic
nmao,	מנדחה	83	applied
nbsx ^ ms-a.	מנדח אל אפלה	84	applied
qisn,	מעוף	75	lowconf
a<b	כא	80	applied
yy xb	לא עץ	89	italic
MaVs	צלמות	90	applied
n^t	צלם	92	applied
msba	מלכות	89	applied
nbian	הגדלת	92	applied
(InMi&wag	ἐπλήϑυνας	92	applied
ovx IfieydJiwai),	οὐκ ἐμεγάλυνας	95	applied
(xb)	לא	92	applied
"^sps	בקציר	92	applied
vsp	קציר	93	applied
T'spn,	הקציר	86	applied
(fx::	בארץ	85	applied
(navrl	παντὶ	96	applied
aaia	טכם	92	applied
1'baO	סבלו	67	lowconf
oroVqv tni(jvv?iytiwqv	στολὴν ἐπισυνηγμένην	91	applied
tite'na	ברעש	90	applied
nbaxa)	מאכלת	79	lowconf
(ftB^irb rwn).	היתה לשרפה	69	lowconf
fi^pi	יקרא	70	applied
*nrn	ותהר	69	lowconf
x-ifsi	יקרא	68	lowconf
IEE	שמן	91	applied
s^z	פכא	68	lowconf
iina	גבור	92	applied
iax	אב	84	applied
~of	οἵ	78	lowconf
wbiu,	שלום	69	lowconf
KD=>	כסא	87	applied
MNSp	קנאה	93	applied
S-QIB	מזרבה	73	lowconf
mia^n nz-i	רבח המשרה	95	applied
nb	לם	88	applied
^BU	נפל	71	applied
lEStb	לאמר	89	applied
fcsn,	העם	68	lowconf
(nas	πᾶς	96	applied
).abs TOV 'EyQaifi) ',	λαὸς τοῦ ᾿Εφραϊμ	77	lowconf
bx*	גדל	85	applied
(vi/^ij %aQdfa)t	ὑψηλῇ καρδίᾳ	93	italic
irx	אמר	83	applied
iinT*	לרברו	85	applied
T^S	עליו	88	applied
aaar,	רשגב	83	applied
(faaaxedadei)	διασκεδάσει	93	applied
rs	את	88	applied
b=a	בכל	89	applied
nxt b=n	בכל זאת	90	notfound
*iy,	עד	90	applied
stt)	שב	82	applied
bx.	ὌΝ	72	lowconf
bs>	על	89	applied
inasn	המכהו	91	applied
fiss	כפה	92	applied
fyepcov.	ἡγεμών	95	applied
(pfyav	μέγαν	96	applied
pixoov),	μικρό	84	applied
-jpt	זקן	92	applied
{"HIE	מורה	90	applied
K*oa	נברא	80	applied
("istj)	ספר	93	applied
sba	בלע	85	applied
Tnma	מאשרין	72	lowconf
"n^xa	מאשרר	78	lowconf
DStt	הכם	82	applied
(atofioi).	ἀνομοι	90	applied
ii^sa	נבלה	92	applied
ins,	אדנר	83	applied
nsun	רשכה	81	notfound
niso	גאות	90	applied
fc'nain	מנביום	92	applied
iVorr	יחמכלו	66	lowconf
urx	איש	66	lowconf
cnb	לחם	70	applied
isn	רעו	89	applied
(jov ad&yov avrov)	τοῦ ἀδελφοῦ αὐτοῦ	95	applied
(jov @Qa%iovog	τοῦ βραχίονος	96	applied
avvov).	αὐτοῦ	95	applied
P.X	את	94	applied
r.x	את	94	applied
Ppn	חקק	89	applied
ygdcpovGi.	γράφουσι	93	notfound
h,ix	און	93	applied
pxx/UVoyrfff XQIGIV TTTCO^V).	ἐκκλίνοντες χρίσιν πτωχῶν	84	italic
naoia	טואה	90	applied
sonn pnTaa	ממרחק תבוא	92	applied
bx.	אל	76	applied
TW	אסלר	79	lowconf
tnrs	ביום	93	applied
(r^v ony^v pov	τὴν ὀργὴν μου	93	applied
^la	גור	73	halfword
^mss (rop	52: (τῷ	67	lowconf
nexion	מסנאסת	67	lowconf
pfyaloi fiuaifaTs, flaadsie jWtAeW,	μέγαλοι βασιλεῖς, βασιλεῖς βασιλέων	79	lowconf
KIQXTJGIOV,	Κιρχήσιον	90	applied
(rov eidottov),	τοῦ εἰδώλου	95	applied
eo	σο	88	notfound
TTQMOV	πρέπον	90	notfound
xbn,	הלא	76	applied
Idov,	ἰδού	96	applied
s^n	הלא	95	applied
(XSIQQTTODJTOIS, sidotioii),	χειροποιήτοις, εἰδώλοις	95	applied
'psa	בצין	78	lowconf
*QD "inaa	בטור פבר	71	lowconf
"ipSK	אפקד	91	applied
"ipsx	אפקד	91	applied
(fcwi'rob w^aa) ;	ממדונא למדינא	85	applied
nrnrmw	עתידותיהם	70	lowconf
(cqv iayvv avtmv),	τὴν ἰσχὺν αὐτῶν	95	applied
