篇	串	上下文
2	\will	ces, *will imagine, i. e.* are imagining and \will continue to imagine, *vanity,* a vain thing,
2	declare^	 law or constitution of his kingdom. *1 will declare^* or *let me declare,* the same form of the v
4	Exod.xix	nstantly supplied from the context. *E. g..* Exod.xix. 25, " So Moses went unto the people and *sai
8	Jehovah^	>2 <span class="ax-veng">(1).</span></span> *Jehovah^ our Lord,* not of the Psalmist only, but of 
10	^of	,* watch secretly, or lie in wait. From sins ^of word he now proceeds to those of deed or out
10	æstus	. m.* the Vulgate version of Gen. viii. 22, *æstus* and *æstas,* and in that of Gen. xii. 16, *
10	æstas	lgate version of Gen. viii. 22, *æstus* and *æstas,* and in that of Gen. xii. 16, *oves et bove
12	are^	y our tongues will we do mightily; our lips {are^ with us: who is lord to us,* or over us? Thi
12	poor^	ion of the wretched, from the sighing of the poor^ now will I arise, shall Jehovah say, I will 
12	the~	the second, refer to the same persons, viz., the~ sufferers mentioned in ver. 7 (6). By a lice
14	ver..1-3	description of human depravity as universal, ver..1-3; then a confident anticipation of destructiv
16	their^	 it be heard out of thy mouth." The pronoun *their^* in this whole clause, refers not to the wor
16	yea^	 me in pleasant things (or pleasant places); yea^ my heritage is goodly.* The *lines* here spo
16	below.^	 10, Job xxxix. 14, and in Ps. xlix. 11 (10) below.^—*Hell* is here to be taken in its wide old E
17	^As	-4"></span><span class="ax-vnum">4.</span> *(^As) to the works of man, by the word of thy lip
18	are-	ore him will come, into his ears.* The verbs are- in the future, because they express the feel
18	le	th a kindred phrase *{T}''* הַמֶּלֶךְ) *vive le roi, (long) live the king,* and regarded as 
19	do^on	brew preposition properly means *up to* (or *do^on to)* their very extremity. <span class="ax-
19	xvii.28	. xxi. 14, Deut. xvii. 12, xviii. 22, 1 Sam. xvii.28.—To be perfect has the same sense as in Ps. x
22	three-	 in all ages. The psalm may be divided into three- nearly equal parts. The first pleads the nec
22	^enthroned	rimary meaning of the Hebrew verb, *sitting (^enthroned upon) the praises of Israel.* <span class="
24	lxxx.5	hovah God of Hosts.* Compare Ps. lix. 6 (5), lxxx.5 (4), lxxxiv. 9 (8).—This description of Jeho
27	-he	t he must despair; but as he does believe it,-he encourages himself to wait for it, ver. 13, 
28	xxii=	xxx. 4 (3), lxxxviii. 5 (4), and compare Ps. xxii= 30 (29). <!-- PAGE 132 --> <span class="ax-
29	&See	nature, considered as God's royal residence. &See above, on Ps. V. 8 (7). Throughout this pala
30	Ps.iv	dowed with the same attribute. See above, on Ps.iv. 4(3).— *Memory,* in this connection, does no
31	Zech.xi	with respect and trust. Compare Hos. iv. 10, Zech.xi. 11, Jonah ii. 9 (8). This last place contain
31	faith-	ah, ye his gracious ones (or favoured ones); faith- keeping* (is) *Jehovah, and repaying in plen
32	future^	bones waxed old *because* thy hand," &c.—The future^ in the first clause cannot, without arbitrar
