7	preface.md	（缺）	约翰福音纲要	0.0
31	1.md	ὄνομα	שם（希伯来文，图中作 ロビ 形）	0.0
36	1.md	also	也	0.0
68	2.md	（整段缺失）	耶稣的母亲在那里。娶亲的人很有可能是耶稣的一个近亲，因为提到耶稣与他的母亲同去。从他的门徒也被邀请这一事实中可以推断，耶稣的生活方式是多么简单朴素，因为他和他们过一样的生活。然而，也许有人会觉得很奇怪，一个没有很多财富也不充裕的人（从酒不够用的情况中可以清楚看到这一点）为了基督的缘故邀请了另外四个或五个人。穷人总乐意邀请人，并显得更坦诚。因为即使他们没有很豪华奢侈地款待客人，也不用像富人一样担心没有面子。穷人更热心于依循古代风俗喜欢邀请更多的人。	0.02
74	2.md	（整段脱漏）	显出他的荣耀来。这是因为他出示的证据惹人注目且奇妙非凡，人们借此可确定他是上帝的儿子，他对世人所行的一切神迹都是为了证明他神性的权能。当他顺服上帝的命令把自己显明给众人时，就该是他彰显荣耀的时候了。我们也明白了神迹的目的，因为这句话总的来说就是宣告基督行此神迹是为了显出他的荣耀来。那么对那些抹杀基督的荣耀的神迹我们应怎么想？	0.0
85	2.md	（缺此整段）	㉕因他知道人心里所存的。基督何以知道这些？作者预料有人会有此疑问，他回答说，基督知道人心里所存的、人眼所看不到的一切，所以他有能力和权柄区分众人。因此，那位原知道人心的基督不需要任何人告诉他那些人是怎样的。他知道他们的性情，了解他们的心思意念，所以他认为他们不是属于他的人，这有根有据的，也是正确的。	0.01
91	3.md	（整段缺失）	❸我实实在在地告诉你。“实实在在”（ἀμήν，“阿们”）重复了两次，是为了引起他更大的注意。耶稣要谈论的是最为重要的，超过任何其他的事，他认为必须唤起尼哥底母的注意，否则他就很可能由于轻忽或淡漠的态度而错过了这段话。①这就是双重肯定的目的。	0.03
100	3.md	（缺）	⓫我们所说的，是我们知道的。有些人说此处指的是基督和施洗约翰……使我们对此完全降服。	0.0
103	3.md	（整段脱漏）	⓫摩西在旷野怎样举蛇。他更清楚地解释为什么天上的门唯有向他敞开，这就是他把所有愿意跟从他的人都带进天堂。他宣告，自己将被公之于众人，就使自己的能力临到每一个阶层的所有人。① 举意为被放在一个崇高的地位上，使众人都可以看见。这是借着福音的传扬来实现的。有些人说这指的是基督钉十字架，这样的解释既与上下文不符，也不适于当前的主题。这句话的简单意思是，借着福音的广传，基督就被高举，如同一面旗子吸引众人的眼睛，正如以赛亚所预言的（赛 2：2）。他以铜蛇代表这种高举，这铜蛇是摩西所立的，那些被毒蛇咬了致命伤的人若一看它，就得到医治。这个故事人人皆	0.01
104	3.md	⑩	⓰(黑底数字，疑为16)	0.0
111	3.md	（整段缺失）	㉕辩论洁净的礼。作者叙述约翰的门徒引起辩论不是没有原因的。他们如此热切地开始争论，这正与他们所接受的错误教导相称，正如无知使人大胆而放肆。若有别人攻击他们，他们也许可以被原谅。但他们连自己都还没有能力为这一争论做辩护，就故意挑动犹太人，这样做真是鲁莽而愚蠢。这里说"他们引起辩论"，不仅意为他们竟挑起一个连他们自己都还不明白的问题，这是不对的；也意为他们维护夫子的利益过于维护施洗的合法性，使得夫子的权力不受损害，他们这样做，其错并不亚于前者。在这两方面，他们都应该受责备。因为他们不明白施洗的真义是什么，而使上帝圣洁的仪式遭人奚落；也因为他们由于自己罪恶的私心，就维护自己主人的利益，反对基督。	0.0
