vol	scan_page	before	garbage	after	reading	conf
v1	166	with two he	flics,	to execute	flies	86
v1	194	So too, the name	Immanucl,	although it	Immanuel	93
v1	343	d^Dn have	fyeen	as variously	been	96
v1	351	Intonsi	monies	; ipsae	montes	92
v1	409	shall not turn (or	looti)	to the	look)	97
v1	420	the Egyptian plant called	Iciki.	Most	kiki	93
v1	484	the	masoreiic	interpunction. It	masoretic	92
v1	514	or a dunghill. The	Iceri,	or masoretic	keri	93
v1	624	("n^) of the devouring	firel	Who of	fire?	95
v1	698	Subsidere nostris sub pedibus	monies,	arescere vidimus	montes	92
v1	722	still, what is the	signl		sign?	88
v2	101	thee fast), and will	feeep	thee, and	keep	95
v2	355	from Virgil, ipsi laetitia	monies	etc.	montes	93
v2	359	house and within my	vialls	a place	walls	97
v2	389	the last verb, shall	talte	thee to	take	97
v2	397	(meditate	proferi),	and by	profert)	92
v1	131	s. v.) The cognate	rurps	is applied	nepa	55
v1	430	and ground for taking	ttisa	in any	ps	34
v1	508	a palace of strangers).	Frato	means strictly	mow	52
v1	527	and proposes to read	ttinb	as a	wind	52
v2	70	the creation. Kimchi explains	isahs		gan	60
v2	393	in supplying •? before	rvito?,	a combination	ey	54
v1	91	all enlightened.—Aben Ezra explains	totfi	as the	behind	42
v1	125	Ewald separate	sianb	from *nK	sud	47
v1	335	For the textual reading	fiten	the Keri,	moan	54
v1	410	is a derivative of	fiati,	which properly	man	94
v1	469	cannot well agree with	rnirn,	which as	TIT	52
v1	472	it with the future	msiaj,	which is	naa	64
v1	486	supra, ch. 18: 4.)	niesa	equally admits-	be]	35
v1	559	expresses a distinct act.	ibitis	includes the	uD	16
v1	679	the contingency expressed by	sattr.	Perhaps he	paw	60
v1	724	kiah. These understand	satthi	as equivalent	san	22
v2	140	to read	taixa	as a	Sars	35
v2	220		rvirn	-rj< at	nim	75
v2	345	foreign or exotic wisdom	(pinsp		(prop	52
v2	394	spoken it. The verb	iornn	is	Ann	37
v2	520	slaughter in the Pentateuch,	nbria	is the	moss	74
v1	90	stenberg has shown	(Christol.	vol. 3.	(Christol	92
v1	122	This verse contains the	refisal	of the	ref.isal	73
v1	136		sition,	which appears	sition	97
v1	154	(Cappellus, Bauer) or D^ns	(Durell,	Seeker, Lowth,	(Durell	97
v1	168		(Nordh.	§219.)	(Nordh	93
v1	171		Isend,	and who	I send	85
v1	192	second marriage.' 3. Isenbiehl,	Bauer,	Cube, Steudel,	Bauer	97
v1	194	Martyr tells us, read	veavie,	instead of	VEMVIC	23
v1	234	of the gentiles (Hengstenberg,	Christol.	vol. I.	Christol	92
v1	234	supplies a relative before	innaia,	gives -ussa	ina	34
v1	239	by	Bauer,	Eichhorn, Rosenmiiller,	Bauer	97
v1	250	the London Polyglot in	tumulum).		tumulum)	83
v1	271	sense	oflooking	down upon	of looking	97
v1	279	it (or he) is	(orshall	be)	(or shall	97
v1	280	mentioned in the phrase	iftsa,	it is	4372	22
v1	297	. Eichhorn,	Bauer,	Rosenmiiller, Gesenius,	Bauer	97
v1	307	nispb (Abarbenel), but with	ixisn,	as appears	S8tn	19
v1	330	esse videatur. Nam et	Intro	suspensus patibulo	litro	91
v1	331		lonians.	Theodotion and	lonians	88
v1	339	riah 12: 6	(Christol.	II. 286),	(Christol	88
v1	392	to Aben Ezra, nxs	laran	means apply	He" SF	24
v1	401	muhet. For the first,	Knobej		Knobe}	71
v1	410	ol 'dpOQQCuot xal ol	Evaioi.	For	Evuior	60
v1	411	but more correctly to	itisa	"ns.	192	28
v1	416	Aben Ezra, understand by	nnfea	the terror	ninba	33
v1	425		Onias,	when he	Onias	92
v1	428	regard	lixia	as the	“79	51
v1	437	it. In this nome,	Onias,		Onias	92
v1	438	as a fabrication of	Onias,	intended to	Onias	92
v1	440	the word (salvalorem et	principem),	apply it	principem)	92
v1	455	of it, sc. the	nsiba,	or captivity.	mada	65
v1	461	questioned by Eichhorn, Paulus,	Bauer,	and Rosemmjller,	Bauer	97
v1	469		"isirt	rvo is	“Dar	66
v1	476	classics, the ndvog n6v($	novov	<p«jp« of	MOVOY	32
v1	486	(cum auditum fuerit in	Egypto	dole-	Egypte	82
v1	488	itself. The fact that	nbina	is in	moma	32
v1	502	(Houbigant), tn-inn or B'naoa	(Calmet).	Hensler reads	(Calmet)	88
v1	515	to read nnia for	firtu	(he that	Fa) wil)	44
v1	520	a poetical equivalent	iofeet.	Henderson here	to feet	95
v1	524	tendum liberum arbitrium,	Prophetae	mentern assecuti	Prophete	91
v1	524	quihus fruimur ex Dei	rnanu	adeptos esse	manu	96
v1	561		essentiae,	as if	essentiae	92
v1	574	ventis volucrique simillima	somno.	He who	somno	65
v1	621	in the plural or	abana	with a	noes	40
v1	628	desertosque videre locos Jilusque	rdictum.		relictum	92
v1	628	this emergency. Others more	natur		netur	78
v1	628	(literatus), Luther (Schriftgelehrten), Vitringa	(doctus).	This	(doctus)	89
v1	646	Luther (Weide) and Cocceius	(gramen).	The general	(gramen)	91
v1	650	of birds by Calvin	(ululd),	Junius (merula),	(ulula)	91
v1	650		(fovei).	It is	( fovet)	87
v1	650	Grotius's paraphrase is sub	ruinis.		ruinis	90
v1	665	TEternel aura paye la	rancon.	The connexion	rancon	90
v1	672	thee two thousand horses,	ifthou	be able	af thou	84
v1	687	and that Hena and	levah	were the	Ivvah	89
v1	694		rbira,	that on	mbins	66
v1	698	cibus	hausi.	That such	haust	89
v1	714	(swii), derived from	rraia.	(See above,	Twah	0
v1	729	trum	requirit.	(Calvin). Nothing,	requirit	74
v2	49	The verbs are pr&terita	prophetica,	but	prophetica	92
v2	52	2: 40, has an	(esthetic	sense. To	esthetic	95
v2	53		lonians.		lonians	92
v2	60	the seah is translated	[inyov.	The name	MeTpoY	0
v2	64	spittle, and translate it	citlos.	Gesenius gives	olthog	13
v2	70	? o wollt ihrnicht	horen	?). The	haren	87
v2	73		prophetica,	there is	prophetica	92
v2	76	Prophecies, p. 177.)	Furst,	with still	Furst	93
v2	84		ssiti.	Ewald makes	ong	50
v2	101	some as a pluralis	majestalicus,	by others	mapestaticus	77
v2	109		desolabo.	Even the	desolabo	92
v2	109	synonyme, if derived from	cttis	to breathe,	ews	58
v2	145	Quum	faber,	incortus scamnum	faber	92
v2	156	and adjective, delumbo and	dumbis.	Luther,	elumbis	83
v2	160		ofthee),	he has	of thee)	97
v2	164	rr; ^« and nn&?	itfsa	, men	ston	63
v2	186	the words of Quintus	Curlius	: nihil	Curtius	92
v2	188		iriterpunction	(these two	interpuncuon	82
v2	189	later writers have thou	trustedst	in thy	trusted st	72
v2	204	; by the words	Iknew,	which,	Iknew	86
v2	217	de una persona in	Scripiura	saepius mentionem	Scriptura	97
v2	229	Egypt, so called from	Syenc,	as Michaelis	Syene	91
v2	229	Manasseh Ben Israel, Montanus,	Calmet,	Gesenius, Winer,	Calmet	93
v2	237	Michaelis and Ewald take	rrnex	in its	MAUR	0
v2	245	accord (p>3t> ]fl t>f>5'	Drirp	f>>r>). This,	opsyp	33
v2	257	V. 11. Lo,	allof	you kindling	all of	97
v2	271		sition.	' Afraid	sition	96
v2	287	see.—Rosenmiiller explains a before	aitti	as the	sp	49
v2	293	chapters is of no	morft	importance than	moré	87
v2	298	admire him.	rnida	is a	mrin	21
v2	319	and moreover connects	"insna	with what	‘nD 3D	32
v2	323	that N'jn	Nitta	only means	Rw	24
v2	323	probably give is that	tfitts	Cleans to	nis	61
v2	357		sition,	we can	sition	97
v2	365	hypothesis as nulla specie	probabilem,	and therefore	probabilem	93
v2	374	writers on the passage,	Thenius,	agrees with	Thenius	89
v2	377	future meaning given to	yisaix	by	FESR	42
v2	386	"	crives	a much	oives	66
v2	399	Earlier Prophecies, p. 67.	iriti	is	rato	0
v2	402	Lowth, Koppe, Doderlein, and	Bauer,	in the	Bauer	97
v2	411	Vulgate, cum venerit quasi	flumus	vio-	fluvius	41
v2	418	suppose an antithesis between	pirnn	and	pinwa	46
v2	432	of perpetuity, a joy	ofage		of age	96
v2	449	assonance of	ttmas,	rrssp), and	mmay	65
v2	465	the one—diess verlangt der	Parallelismus,		Parallelismus	92
v2	466	omni tribulations	eornm	non est	eorum	86
v2	471	construction is to repeat	rtson	before n*-i	mbsan	35
v2	479	verb with	tabtea	, we	pbiva	37
v2	481	is better to regard	itini	simply as	oh hale	44
v2	495	proposed by	Thenius	in a	Vhenius	68
v2	529	to	betne	true sense,	be the	96
v2	530	mother' (der seine Mutter	trostef)	is so	trostet)	90
