chapter	ours	witness	votes	polled	verdict
1	Icings	kings	2	2	realword?
1	ptn	jitn	2	4	reject
1	potiori	potiori	3	4	confirm
1	denominatio	denomi	4	4	reject
1	ggnffiaj	general	3	4	reject
1	gg	respect	3	4	reject
1	fiV	n	2	4	reject
1	fy	ezek	4	4	reject
1	tyvw	eyrco	2	3	reject
1	ov	ov	2	2	confirm
1	Mai	Mai	4	4	confirm
1	filii	filii	4	4	confirm
1	degeneres	degeneres	4	4	confirm
1	dwrj	der	4	4	reject
1	contemtim	contemtim	4	4	confirm
1	irritaverunt	irritaverunt	4	4	confirm
1	ils	ils	4	4	confirm
1	ont	ont	4	4	confirm
1	irrite	irrite	4	4	confirm
1	parmepris	parmepris	3	4	confirm
1	ibrm	form	4	4	reject
1	aTtyM	a	2	4	reject
1	percutiemini	percutiemini	4	4	confirm
1	Euripides	Euripides	4	4	confirm
1	Ovid	Ovid	4	4	confirm
1	vix	vix	4	4	confirm
1	habet	habet	4	4	confirm
1	nobis	nobis	4	4	confirm
1	Rosenmüller	rosenmuller	2	3	realword?
1	abiit	abiit	4	4	confirm
1	morbum	morbum	3	4	confirm
1	tumour	tumour	4	4	confirm
1	pressed'	pressed	3	3	realword?
1	ventum	ventum	3	4	confirm
1	Eng	Eng	4	4	confirm
1	bloxJujQia	desertion	2	4	reject
1	sicut	sicut	4	4	confirm
1	vastitate	vastitate	4	4	confirm
1	hostili	hostili	4	4	confirm
1	nasna	share	3	4	reject
1	veritatis	veritatis	4	4	confirm
1	loc	loc	4	4	confirm
1	turris	turris	4	4	confirm
1	custodiae'	custodiae	3	4	reject
1	Tingstad	Tingstad	4	4	confirm
1	Comm	Comm	4	4	confirm
1	rniis	them	2	4	reject
1	buttocks	bullocks	3	4	realword?
1	ic	c	2	4	reject
1	advenitis	advenitis	4	4	confirm
1	appareatis	appareatis	4	4	confirm
1	conspectu	conspectu	4	4	confirm
1	I	j	2	3	realword?
1	tr	r	2	4	reject
1	nf	jj	2	4	reject
1	ferre	ferre	4	4	confirm
1	pravitatem	pravitatem	4	4	confirm
1	quae	quae	4	4	confirm
1	vos	vos	4	4	confirm
1	conjungitis	conjungitis	4	4	confirm
1	ic	c	3	4	reject
1	ic	tc	2	4	reject
1	solennes	solennes	4	4	confirm
1	indictiones	indictiones	4	4	confirm
1	potero	potero	4	4	confirm
1	vana	vana	4	4	confirm
1	res	res	4	4	confirm
1	conventum	conventum	3	4	confirm
1	temerarium	sumptuous	4	4	reject
1	frustra	frustra	4	4	confirm
1	vergeblich	vergeblich	4	4	confirm
1	odi	odi	4	4	confirm
1	animo	animo	4	4	confirm
1	wn	which	2	4	reject
1	Christol	Christol	4	4	confirm
1	facta	facta	4	4	confirm
1	mihi	mihi	4	4	confirm
1	superfuerunt	superfuerunt	4	4	confirm
1	mihi	mihi	4	4	confirm
1	oneris	oneris	4	4	confirm
1	incumbunt	incumbunt	4	4	confirm
1	mihi	mihi	4	4	confirm
1	oneris	oneris	4	4	confirm
1	burthen	burthen	4	4	confirm
1	zur	zur	4	4	confirm
1	I	j	2	3	realword?
1	caedibus	caedibus	4	4	confirm
1	plenae	plenae	4	4	confirm
1	Fabricius	Fabricius	4	4	confirm
1	Theol	Theol	4	4	confirm
1	causa	causa	4	4	confirm
1	causa	causa	4	4	confirm
1	Vsa	sa	2	4	reject
1	rr	they	2	4	reject
1	Musculus	Musculus	4	4	confirm
1	psn	be	4	4	reject
1	ttdixovpsvov	e	2	4	reject
1	oppresso	subvenite	3	4	reject
1	corruptum	corruptum	4	4	confirm
1	aequum	aequum	3	4	confirm
1	facite	facite	4	4	confirm
1	iniquum	iniquum	4	4	confirm
1	contend	contend	4	4	confirm
1	discoloured	discoloured	4	4	confirm
1	agite	agite	4	4	confirm
1	nos	nos	4	4	confirm
1	castigari	castigari	4	4	confirm
1	patiamur	patiamur	4	4	confirm
1	enim	enim	4	4	confirm
1	Jehova	Jehova	4	4	confirm
1	wollt	wollt	4	4	confirm
1	ihr	ihr	4	4	confirm
1	gehorchen	gehorchen	4	4	confirm
1	sav	iav	2	4	reject
1	fiov	vulg	2	4	reject
1	audieritis	audieri	4	4	reject
1	spolccn	spoken	3	4	reject
1	musset	miisset	4	4	reject
1	ihr	ihr	4	4	confirm
1	Schwerdt	Schwerdt	4	4	confirm
1	verzehren	verzehren	4	4	confirm
1	tex	sx	2	4	reject
1	undergone	undergone	4	4	confirm
1	ig	the	3	4	reject
1	urbs	urbs	3	4	confirm
1	civitas	civitas	4	4	confirm
1	Nor'dh	nordh	3	4	reject
1	iveaJccned	weakened	4	4	reject
1	scelus	scelus	3	4	confirm
1	estjugulare	est	4	4	reject
1	Falernum	jugular	2	4	reject
1	GOV	GOV	3	4	confirm
1	fiiayovai	fiiayovai	2	4	confirm
1	rbv	rbv	3	4	confirm
1	oivov	olvov	3	4	reject
1	vdan	vdari	2	4	reject
1	avTanodopa	lxx	4	4	reject
1	dem	dem	4	4	confirm
1	Waisen	Waisen	4	4	confirm
1	halten	halten	4	4	confirm
1	kein	kein	4	4	confirm
1	Gericht	Gericht	4	4	confirm
1	deine	deine	4	4	confirm
1	Vorgesetzten	Vorgesetzten	4	4	confirm
1	widersetzlich	widersetzlich	4	4	confirm
1	deine	deine	4	4	confirm
1	Herren	Herren	4	4	confirm
1	Narren	Narren	4	4	confirm
1	Arbeit	Arbeit	4	4	confirm
1	nehmen	nehmen	4	4	confirm
1	gegen	gegen	3	4	confirm
1	auf	auf's	2	4	reject
1	lauterste	the	3	4	reject
1	xa	xa	2	4	confirm
1	otQov	aqov	2	4	reject
1	purum	purum	4	4	confirm
1	puritatem	puritatem	4	4	confirm
1	justae	justae	4	4	confirm
1	puritati	puritati	4	4	confirm
1	restituam	restituam	4	4	confirm
1	counsellors	counsellors	4	4	confirm
1	jri	there	2	4	reject
1	tf	calvin	2	4	reject
1	reducentur	redu	4	4	reject
1	personae	perso	3	3	reject
1	zu	zu	3	4	confirm
1	Schanden	Schanden	4	4	confirm
1	Terebinthen	Terebinthen	4	4	confirm
1	Res	Res	4	4	confirm
1	butm	butm	4	4	confirm
1	jbn	bn	2	4	reject
1	theTme	the	4	4	reject
1	versa	versa	4	4	confirm
10	Oreb	Oreb	3	4	confirm
10	pp	pp	4	4	confirm
10	counsellors	counsellors	4	4	confirm
10	Minister	munster	2	3	realword?
10	jubent	jubent	4	4	confirm
10	scribere	scribere	3	4	confirm
10	Ppn	Ppn	2	4	confirm
10	ndvog	novog	3	4	reject
10	statuta	statuta	4	4	confirm
10	vanitatis	vanitatis	4	4	confirm
10	laborem	laborem	4	4	confirm
10	scribentibus	scribentibus	4	4	confirm
10	inra	laro	2	4	reject
10	Schriftgelehrte	Schriftgelehrte	4	4	confirm
10	Ppn	Ppn	3	4	confirm
10	UVoyrfff	a	2	4	reject
10	TTTCO	this	2	4	reject
10	Mai	Mai	4	4	confirm
10	Verus	Verus	3	4	confirm
10	arceant	arceant	4	4	confirm
10	pauperes	pauperes	4	4	confirm
10	judicio	judicio	4	4	confirm
10	vel	vel	4	4	confirm
10	efficiant	efficiant	3	4	confirm
10	cadant	cadant	4	4	confirm
10	causa	causa	4	4	confirm
10	facerent	facerent	3	4	confirm
10	causae	causae	3	4	confirm
10	humilium	humilium	4	4	confirm
10	Avhom	whom	4	4	reject
10	pnTaa	pm	2	4	reject
10	bx	n	2	4	reject
10	fleeing	fleeing	4	4	confirm
10	Musculus	Musculus	4	4	confirm
10	Rosenmüller	rosenmiiller	3	4	realword?
10	Rosenmüller	rosenmiiller	3	4	realword?
10	nbn	irta	2	4	reject
10	sns	s	2	4	reject
10	TW	i	2	4	reject
10	nn	makes	2	4	reject
10	or	for	4	4	realword?
10	instrurmint	instru	4	4	reject
10	Asshur	Asshur	4	4	confirm
10	Assur	Assur	4	4	confirm
10	veni	veni	4	4	confirm
10	vae	vae	4	4	confirm
10	vobis	vobis	4	4	confirm
10	Assyrii	Assyrii	4	4	confirm
10	dir	dir	4	4	confirm
10	Assyrien	Assyrien	4	4	confirm
10	Heus	Heus	3	4	confirm
10	trie	tne	3	4	reject
10	UaavQioig	aoovqiotg	2	4	reject
10	ille	ille	3	4	confirm
10	ipse	ipse	4	4	confirm
10	Rosenmüller	rosenmuller	3	4	realword?
10	eorum	eorum	4	4	confirm
10	populum	populum	4	4	confirm
10	excandescentiae	excandescentiae	4	4	confirm
10	ofForerius	ofForerius	3	4	confirm
10	populum	populum	4	4	confirm
10	duriter	duriter	3	4	confirm
10	tractare	tractare	3	4	confirm
10	decrevi	decrevi	3	4	confirm
10	pre	pre	4	4	confirm
