preface	classify	pparent, or of such a nature as to repress the wish to classify the psalms and reduce them to some systematic order. T	?	18
preface	redacteur	ment was the work of Ezra, the inspired collector and *redacteur* of the canon, so that even if nothing more should eve	?	20
preface	denominatio	 to Jews and Christians, as the Psalms of David. This *denominatio a potiori* is entirely correct, as all the other write	?	20
preface	potiori	hristians, as the Psalms of David. This *denominatio a potiori* is entirely correct, as all the other writers of the 	?	20
2	Adhonai	 clause. *The Lord,* not *Jehovah,* as in ver. 2, but *Adhonai,* the Hebrew word properly denoting *Lord* or *Soverei	Adonai	23
2	declare^	n lips the law or constitution of his kingdom. *1 will declare^* or *let me declare,* the same form of the verb as in 	declare,	24
2	Mai	Deut. xiv. 1, 2, xxxii. 6; Isa. lxiii. 16; Hos. xi. 1; Mai. i. 6; Rom ix. 4.) Nor will any explanation of the term	Mal.	24
4	o/	of righteousness,* my righteous God! Compare *my hill* o/" *holiness,* Ps. ii. 6, and *his hill of holiness,* Ps	of	31
4	room/or	e heretofore experienced, *thou hast widened,* or made room/or *me,* the corresponding figure for relief. All he asks	room for	31
4	actuated	y either signify an object of the divine mercy, or one actuated by religious love. If both ideas are included, which i	actuated	32
6	gener^	* any remembrance of thee. *In Sheol,* the grave, as a gener^ receptacle, here parallel to *death,* and, like it, me	general	40
7	kinsmen	m. ix. 1, 2; xvi. 6, 11) and Shimei, who, indeed, were kinsmen. This explanation of the word *Cush* is less forced tha	?	42
8	Gitti	th), would seem, from its form, to be the feminine of *Gitti,* ■which always means a Gittite or inhabitant of Gath.	Gitti,	46
8	■which	ld seem, from its form, to be the feminine of *Gitti,* ■which always means a Gittite or inhabitant of Gath. See Josh	which	46
11	grammatical-	 and judge the conduct of his creatures. By an equally grammatical-, tical but less natural construction, the whole verse 	gramma-	62
11	Mo^t	eech transferred from polytheism to the true religion. Mo^t probably, however, it was intended to express the fuln	Most	63
12	\^i^	rth,* or earthy particles, it has been objected, that *\^i^* never means earth as a material. Some avoid this diff	ארץ	65
12	7w	that they attach a supposititious meaning to the noun *7w)3-* It is therefore explained by some as a variation o	עליל	65
12	tV^	-* It is therefore explained by some as a variation of tV^, lord or master, and the whole clause made to mean, *p	בעל	65
13	^ell-founded	God, i. e.* one on whom I have a right to call, with a ^ell-founded hope of being heard. See above on Ps. iii. 8 (7).— *En	well-founded	67
14	Oy>	 The common version is forbidden by the optative form *Oy>)* of the Hebrew verb, and by the masoretic interpuncti	יָגֵל	71
16	their^	either let it be heard out of thy mouth." The pronoun *their^* in this whole clause, refers not to the worshippers b	?	75
16	contend	חסידך) being a marginal correction or *keri.* The Jews contend for the former, and most Christians for the latter, wh	contend	77
16	TVi^y	6.—It has been disputed whether *שחת* is derived from *TVi^y* and means a pit, or from שחת and means corruption. Bo	שׁוּחַ	77
16	Xy\1-	a different sense and gender, as derived from נחת and *Xy\1-* The use of this equivocal expression may have been in	נוּחַ	77
17	^IDD^	ix refers to the enemy as an ideal person. The future (^IDD^) means that he is just about to feel or gratify the ap	יִכְסוֹף	81
18	Jericho	mpare " Judah and Jerusalem," Isa. i. 1; "the land and Jericho," Josh. ii. 1. This form of expression does not imply 	Jericho	83
18	^^D	ation of two different words in Hebrew. As the *rock* (^^D) of the first clause suggests the idea of concealment 	סֶלַע	84
18	Zacharias	In Luke i. 69, the same phrase is applied to Christ by Zacharias. The last term in the description belongs to the same c	Zacharias	84
18	oftvorthlessness	allusion, in the figures of this verse, to the *floods oftvorthlessness* in ver 5 (4), and the *bands of hell* in ver. 6 (5). 	of worth-lessness	87
18	ny	 But as the corresponding form of the verb to *lie {Mi}ny)* is used by Moses actively in Deut. xxxiii. 29, to wh	יְכַחֲשׁוּ	93
18	xx^iii	e very same expressions are employed. Compare also Ps. xx^iii. 8, lxxxiv. 10 (9), and Ps. lxxxix, *passim.* <!-- PAG	xxviii	95
19	do^on	nt. The Hebrew preposition properly means *up to* (or *do^on to)* their very extremity. <span class="ax-anchor" id	?	98
21	Kabbah	golden crown which he took from the Ammonitish king of Kabbah (2 Sam. xii. 30), but to his ideal coronation by the g	Rabbah	104
22	•verse	ufferer himself in early life. The *for* connects this •verse with the last clause of the one preceding. What his en	verse	109
22	m£	e, kept me safe. The original construction is, *making m£ trust,* but the Hebrew infinitive and participle used 	me	109
22	th^	o clauses may be here represented by the past tense of th^ English verb.—As applied to the whole church or chosen	the	109
22	^HIO	e that some grammarians deny its existence altogether (^HIO for D^lhiD), and an equally rare form of the participl	כָּאֲרִי	111
22	D^lhiD	me grammarians deny its existence altogether (^HIO for D^lhiD), and an equally rare form of the participle (D\*1S3 f	כָּאֲרִים	111
22	D\	r D^lhiD), and an equally rare form of the participle (D\*1S3 for D^S), and a meaning of the verb itself which n	כָּאֲרִים	111
22	1S3	^lhiD), and an equally rare form of the participle (D\*1S3 for D^S), and a meaning of the verb itself which nowhe	כָּאֲרִים	111
