29	1.md	情况	情	页内5处 贴合=0.36 方向=-0.04 领先=0.13
50	1.md	说明	说	页内1处 贴合=0.20 方向=+0.00 领先=1.20
66	2.md	少	多	页内2处 贴合=0.11 方向=+0.00 领先=0.00
68	2.md	（整段缺失）	耶稣的母亲在那里。娶亲的人很有可能是耶稣的一个近…	整段·无短差
74	2.md	（整段脱漏）	显出他的荣耀来。这是因为他出示的证据惹人注目且奇…	整段·无短差
85	2.md	（缺此整段）	㉕因他知道人心里所存的。基督何以知道这些？作者预…	整段·无短差
86	3.md	知	晓	页内20处 贴合=0.17 方向=+0.00 领先=0.00
91	3.md	（整段缺失）	❸我实实在在地告诉你。“实实在在”（ἀμήν，“…	整段·无短差
100	3.md	（缺）	⓫我们所说的，是我们知道的。有些人说此处指的是基…	整段·无短差
103	3.md	（整段脱漏）	⓫摩西在旷野怎样举蛇。他更清楚地解释为什么天上的…	整段·无短差
111	3.md	（整段缺失）	㉕辩论洁净的礼。作者叙述约翰的门徒引起辩论不是没…	整段·无短差
123	4.md	若不见神迹奇事	若不看见神迹奇事	覆盖率0.29
125	4.md	（缺）	❺名叫叙加。哲罗姆在其为保拉②写的悼文中，认为叙…	整段·无短差
160	5.md	形象	形像	覆盖率0.45
172	5.md	（整段缺失）	⑳父爱子。每一个人都看到教父们对这节的解释是多么…	整段·无短差
172	5.md	（整段缺失）	㉑父怎样叫死人起来。他在此简明扼要地说明了父所托…	整段·无短差
174	5.md	甚	其	页内1处 贴合=0.45 方向=+0.03 领先=1.45
203	6.md	（缺）	⑭众人看见耶稣所行的神迹。看起来神迹带来某些益处…	整段·无短差
203	6.md	（缺）	⑮来强逼他作王。那些人要尊基督为王，这么做还是有…	整段·无短差
226	6.md	（整段缺失）	❺我是活的粮（the living bread）…	整段·无短差
230	6.md	（整段缺失）	㉟我的肉是真正的食物。①他换种说法来进一步证实上…	整段·无短差
232	6.md	（整段缺失）	❺❼永活的父怎样差我来。迄今为止，基督已经解释了…	整段·无短差
232	6.md	（整段缺失）	❺❽这就是从天上降下来的粮。他转而比较吗哪和他的…	整段·无短差
